Velocidades_Air,Velocidades_Ritz
-124.68934866762679,-72.18310883238391
595.2723851842021,642.92692830507
580.4465360402893,599.4876872304472
-157.71661502540053,-100.62690891008837
291.0473835875618,291.0473835875618
-171.81022046666396,-133.81071748145078
-271.1748128489904,-256.9347318477003
-107.78319101565405,-131.50838214822423
-139.01979211456566,-120.05365142404831
872.0141276451131,190.64422744606918
143.16856783726942,-630.2992685185179
-582.8581177588679,542.9529683865615
