Distance_(pixels),Gray_Value
454,10861.000
455,11059.000
456,11185.333
457,11278.833
458,11308.333
459,11319.167
460,11354.333
461,11391.833
462,11409.000
463,11408.500
464,11409.500
465,11410.167
466,11420.667
467,11401.500
468,11372.500
469,11370.000
470,11356.000
471,11365.333
472,11347.167
473,11355.667
474,11354.833
475,11300.000
476,11267.000
477,11238.667
478,11164.500
479,11008.500
480,10743.167
481,10440.167
482,10261.667
483,10299.333
484,10452.833
485,10701.833
486,10957.333
487,11089.500
488,11143.167
489,11167.500
490,11183.500
491,11164.000
492,11125.000
493,11048.500
494,10947.333
495,10895.500
496,10907.167
497,10958.667
498,10959.500
499,10900.500
500,10816.500
501,10690.000
502,10485.167
503,10230.500
504,9900.333
505,9735.667
506,9856.667
507,10082.667
508,10418.333
509,10750.167
510,10910.167
511,11028.000
512,11083.333
513,11051.333
514,11025.833
515,10993.333
516,10936.500
517,10920.333
518,10929.500
519,10949.667
520,11014.833
521,11044.833
522,11089.000
523,11170.667
524,11204.000
525,11178.500
526,11162.833
527,11122.167
528,11067.000
529,10983.167
530,10840.000
531,10678.167
532,10564.333
533,10525.000
534,10552.500
535,10662.500
536,10795.833
537,10915.833
538,10993.167
539,11014.000
540,10962.500
541,10881.333
542,10785.667
543,10711.000
544,10705.333
545,10730.333
546,10768.500
547,10797.833
548,10851.167
549,10912.167
550,10917.500
551,10877.333
552,10851.667
553,10817.500
554,10806.167
555,10805.833
556,10813.833
557,10848.500
558,10874.333
559,10938.333
560,10989.000
561,11021.667
562,11077.500
563,11087.500
564,11044.167
565,10932.833
566,10746.333
567,10525.500
568,10333.667
569,10296.333
570,10339.167
571,10507.500
572,10799.667
573,11052.667
574,11160.833
575,11217.167
576,11260.167
577,11228.000
578,11202.500
579,11181.167
580,11135.333
581,11100.000
582,11063.833
583,11016.000
584,11007.167
585,11034.167
586,11029.000
587,10957.333
588,10798.833
589,10524.500
590,10232.500
591,10014.667
592,9957.000
593,10010.833
594,10232.667
595,10542.167
596,10718.000
597,10806.167
598,10842.667
599,10823.333
600,10823.333
601,10801.667
602,10752.833
603,10697.500
604,10610.833
605,10511.167
606,10440.833
607,10424.333
608,10495.167
609,10572.500
610,10637.167
611,10714.167
612,10750.000
613,10760.833
614,10814.000
615,10854.667
616,10833.167
617,10820.667
618,10817.000
619,10752.833
620,10710.333
621,10685.833
622,10624.167
623,10532.167
624,10474.167
625,10428.333
626,10367.000
627,10282.500
628,10206.500
629,10158.833
630,10150.167
631,10176.000
632,10198.667
633,10250.833
634,10303.333
635,10330.500
636,10367.667
637,10352.167
638,10301.333
639,10194.667
640,9916.333
641,9400.833
642,8689.333
643,8032.833
644,7665.000
645,7692.000
646,8136.167
647,8796.667
648,9441.333
649,9896.333
650,10164.333
651,10318.333
652,10409.667
653,10469.167
654,10547.833
655,10621.833
656,10680.167
657,10687.500
658,10680.000
659,10636.000
660,10509.000
661,10242.833
662,9924.667
663,9710.667
664,9700.667
665,9841.000
666,10052.167
667,10248.333
668,10364.667
669,10402.000
670,10405.833
671,10441.333
672,10510.500
673,10568.667
674,10626.500
675,10630.333
676,10621.000
677,10666.667
678,10682.167
679,10676.667
680,10654.167
681,10557.333
682,10390.667
683,10122.333
684,9823.500
685,9606.333
686,9597.500
687,9718.167
688,9913.000
689,10155.667
690,10270.000
691,10247.000
692,10074.500
693,9845.667
694,9668.000
695,9552.167
696,9535.000
697,9626.000
698,9821.833
699,10065.833
700,10305.167
701,10476.833
702,10568.500
703,10607.333
704,10631.500
705,10665.167
706,10742.167
707,10781.500
708,10810.167
709,10901.500
710,10983.500
711,11024.667
712,11076.333
713,11083.333
714,11038.167
715,11040.833
716,11058.000
717,11083.333
718,11125.167
719,11171.167
720,11215.000
721,11245.500
722,11248.333
723,11242.000
724,11180.000
725,11078.500
726,10937.000
727,10881.833
728,10894.167
729,10931.333
730,11043.833
731,11117.500
732,11128.000
733,11102.500
734,11069.833
735,11068.000
736,11026.500
737,11019.833
738,10997.667
739,10939.167
740,10913.833
741,10882.667
742,10799.833
743,10700.500
744,10547.167
745,10218.500
746,9706.667
747,9016.000
748,8169.500
749,7326.000
750,6784.833
751,6710.000
752,7084.167
753,7795.833
754,8653.667
755,9425.667
756,10037.833
757,10435.500
758,10638.000
759,10763.333
760,10828.667
761,10848.833
762,10735.167
763,10512.333
764,10356.500
765,10307.167
766,10328.833
767,10379.667
768,10545.833
769,10789.833
770,10877.500
771,10828.333
772,10762.333
773,10669.167
774,10429.000
775,9972.000
776,9350.500
777,8612.000
778,7973.000
779,7639.000
780,7615.833
781,7887.500
782,8419.667
783,9034.167
784,9463.833
785,9597.833
786,9584.833
787,9617.167
788,9678.833
789,9756.500
790,9939.000
791,10148.667
792,10263.833
793,10282.000
794,10237.333
795,10200.167
796,10224.667
797,10265.333
798,10321.167
799,10340.333
800,10351.000
801,10365.667
802,10396.167
803,10477.833
804,10478.667
805,10413.833
806,10370.833
807,10359.500
808,10383.833
809,10417.000
810,10499.667
811,10587.500
812,10581.167
813,10568.000
814,10543.833
815,10499.333
816,10500.667
817,10536.167
818,10612.333
819,10692.167
820,10762.833
821,10813.500
822,10829.000
823,10812.667
824,10761.833
825,10674.167
826,10575.500
827,10532.000
828,10513.833
829,10539.833
830,10515.000
831,10460.500
832,10467.333
833,10476.000
834,10432.833
835,10400.333
836,10433.833
837,10471.500
838,10457.167
839,10438.667
840,10395.667
841,10342.167
842,10345.667
843,10336.333
844,10271.000
845,10279.000
846,10326.167
847,10352.167
848,10386.167
849,10431.500
850,10440.333
851,10428.667
852,10441.000
853,10441.500
854,10388.833
855,10343.833
856,10295.500
857,10244.333
858,10188.833
859,10115.333
860,10047.833
861,10026.833
862,10029.833
863,10082.500
864,10195.667
865,10298.833
866,10354.500
867,10375.167
868,10368.167
869,10320.167
870,10306.333
871,10275.500
872,10158.000
873,9987.000
874,9822.333
875,9710.500
876,9684.667
877,9721.500
878,9844.833
879,9983.333
880,10070.833
881,10129.833
882,10250.167
883,10337.500
884,10393.333
885,10434.000
886,10451.000
887,10434.333
888,10406.333
889,10397.833
890,10373.000
891,10348.000
892,10319.667
893,10286.000
894,10148.000
895,9939.500
896,9763.000
897,9700.333
898,9758.000
899,9881.167
900,10066.833
901,10226.000
902,10312.500
903,10341.000
904,10372.667
905,10390.167
906,10416.500
907,10401.167
908,10366.000
909,10365.667
910,10341.833
911,10300.167
912,10280.167
913,10286.000
914,10306.833
915,10385.833
916,10472.500
917,10562.167
918,10636.500
919,10637.333
920,10633.167
921,10637.333
922,10612.500
923,10598.000
924,10562.500
925,10543.167
926,10565.667
927,10596.000
928,10642.500
929,10699.000
930,10778.333
931,10816.500
932,10842.000
933,10846.167
934,10830.333
935,10858.167
936,10910.333
937,10941.667
938,10946.167
939,10955.667
940,10966.667
941,10985.000
942,11029.833
943,11022.500
944,10974.000
945,10978.500
946,10973.833
947,10884.333
948,10839.167
949,10888.167
950,10954.333
951,10987.000
952,11036.000
953,11079.333
954,11070.000
955,11090.333
956,11098.000
957,11054.333
958,11009.333
959,10923.500
960,10815.667
961,10751.500
962,10760.167
963,10787.167
964,10838.667
965,10872.667
966,10920.000
967,10978.000
968,11005.667
969,11016.000
970,11006.333
971,11037.500
972,11043.167
973,11032.333
974,11064.667
975,11083.667
976,11092.333
977,11038.167
978,10977.000
979,10966.333
980,10989.667
981,11022.333
982,11081.167
983,11150.833
984,11161.333
985,11171.000
986,11193.833
987,11170.833
988,11100.333
989,10907.500
990,10621.833
991,10284.333
992,10020.000
993,9950.833
994,10066.167
995,10273.667
996,10481.000
997,10640.000
998,10729.667
999,10762.167
1000,10803.500
1001,10757.333
1002,10684.167
1003,10650.167
1004,10680.833
1005,10760.333
1006,10841.833
1007,10973.000
1008,11061.833
1009,11107.333
1010,11085.500
1011,10975.667
1012,10807.833
1013,10573.667
1014,10387.000
1015,10348.000
1016,10350.167
1017,10485.500
1018,10656.167
1019,10803.833
1020,10895.667
1021,10917.667
1022,10902.833
1023,10894.167
1024,10852.667
1025,10776.000
1026,10658.167
1027,10545.833
1028,10407.000
1029,10305.167
1030,10277.833
1031,10268.333
1032,10288.333
1033,10353.500
1034,10409.167
1035,10387.167
1036,10247.833
1037,9999.333
1038,9746.667
1039,9603.500
1040,9641.000
1041,9823.000
1042,10051.333
1043,10262.000
1044,10397.000
1045,10445.500
1046,10482.667
1047,10499.500
1048,10542.000
1049,10588.833
1050,10580.333
1051,10607.500
1052,10627.167
1053,10565.833
1054,10569.667
1055,10585.333
1056,10558.167
1057,10521.000
1058,10438.500
1059,10344.167
1060,10329.000
1061,10302.333
1062,10358.167
1063,10435.000
1064,10495.667
1065,10573.167
1066,10623.333
1067,10617.000
1068,10600.000
1069,10585.667
1070,10606.500
1071,10613.833
1072,10630.833
1073,10626.000
1074,10555.833
1075,10515.833
1076,10451.667
1077,10394.500
1078,10351.833
1079,10300.833
1080,10299.667
1081,10316.333
1082,10396.333
1083,10480.333
1084,10573.333
1085,10650.000
1086,10732.667
1087,10744.500
1088,10704.500
1089,10735.333
1090,10765.500
1091,10773.833
1092,10755.333
1093,10723.000
1094,10689.667
1095,10640.833
1096,10610.167
1097,10604.000
1098,10642.667
1099,10693.000
1100,10722.000
1101,10751.667
1102,10765.167
1103,10739.500
1104,10722.333
1105,10713.167
1106,10691.000
1107,10662.000
1108,10647.333
1109,10627.167
1110,10606.833
1111,10559.000
1112,10502.667
1113,10485.000
1114,10445.500
1115,10356.833
1116,10274.167
1117,10153.500
1118,10089.833
1119,10102.667
1120,10112.667
1121,10173.167
1122,10281.667
1123,10296.833
1124,10232.000
1125,10170.667
1126,9953.333
1127,9515.667
1128,8896.167
1129,8211.667
1130,7717.167
1131,7581.167
1132,7796.333
1133,8312.333
1134,8995.500
1135,9595.333
1136,9987.833
1137,10158.333
1138,10212.667
1139,10151.000
1140,10139.833
1141,10152.000
1142,10185.833
1143,10268.000
1144,10283.500
1145,10119.000
1146,9764.333
1147,9246.667
1148,8728.833
1149,8291.500
1150,8099.167
1151,8143.667
1152,8407.500
1153,8865.000
1154,9302.167
1155,9647.000
1156,9922.500
1157,10143.833
1158,10242.500
1159,10278.667
1160,10213.833
1161,9965.333
1162,9576.333
1163,9246.833
1164,9132.833
1165,9251.333
1166,9565.167
1167,10010.667
1168,10428.500
1169,10677.333
1170,10811.333
1171,10868.333
1172,10914.000
1173,10911.333
1174,10883.667
1175,10802.500
1176,10743.833
1177,10651.000
1178,10505.833
1179,10415.167
1180,10407.167
1181,10378.333
1182,10421.833
1183,10488.000
1184,10539.833
1185,10557.333
1186,10630.167
1187,10710.667
1188,10813.667
1189,10849.667
1190,10867.667
1191,10893.167
1192,10886.833
1193,10901.500
1194,10868.000
1195,10835.667
1196,10831.833
1197,10800.167
1198,10796.833
1199,10774.500
1200,10742.500
1201,10722.333
1202,10721.500
1203,10648.333
1204,10581.667
1205,10572.000
1206,10618.000
1207,10618.667
1208,10608.500
1209,10582.333
1210,10547.667
1211,10585.667
1212,10607.167
1213,10600.167
1214,10573.000
1215,10572.000
1216,10572.500
1217,10563.167
1218,10518.000
1219,10443.333
1220,10358.500
1221,10231.000
1222,10041.000
1223,9705.333
1224,9181.833
1225,8466.667
1226,7703.333
1227,7041.500
1228,6771.167
1229,6990.833
1230,7619.667
1231,8433.167
1232,9221.167
1233,9813.833
1234,10167.000
1235,10321.667
1236,10372.833
1237,10446.500
1238,10472.667
1239,10459.667
1240,10445.167
1241,10401.500
1242,10333.000
1243,10213.000
1244,10059.667
1245,9736.333
1246,9383.833
1247,9125.667
1248,9023.167
1249,9097.167
1250,9273.667
1251,9455.667
1252,9637.667
1253,9808.167
1254,9913.833
1255,9938.667
1256,10009.667
1257,10043.167
1258,10013.667
1259,9955.333
1260,9855.667
1261,9674.333
1262,9486.667
1263,9400.667
1264,9433.667
1265,9567.000
1266,9705.500
1267,9903.500
1268,10004.167
1269,10011.667
1270,10010.167
1271,9995.500
1272,10014.833
1273,10060.167
1274,10164.667
1275,10277.833
1276,10366.500
1277,10420.667
1278,10468.333
1279,10503.833
1280,10455.833
1281,10441.833
1282,10456.500
1283,10487.500
1284,10521.500
1285,10597.167
1286,10698.000
1287,10743.167
1288,10743.167
1289,10789.667
1290,10815.833
1291,10794.833
1292,10792.500
1293,10758.667
1294,10666.500
1295,10608.167
1296,10514.833
1297,10399.167
1298,10323.000
1299,10330.333
1300,10389.000
1301,10450.500
1302,10522.000
1303,10574.833
1304,10592.000
1305,10565.000
1306,10460.167
1307,10349.667
1308,10229.833
1309,10114.000
