Distance_(pixels),Gray_Value
454,9972.857
455,10185.000
456,10307.571
457,10378.000
458,10438.143
459,10480.571
460,10473.286
461,10496.143
462,10552.000
463,10575.714
464,10584.286
465,10625.143
466,10667.000
467,10646.143
468,10622.000
469,10583.857
470,10574.571
471,10591.000
472,10584.571
473,10584.714
474,10597.429
475,10597.714
476,10565.429
477,10476.000
478,10347.429
479,10162.714
480,9925.571
481,9676.857
482,9577.143
483,9584.429
484,9652.429
485,9880.857
486,10054.143
487,10115.571
488,10171.571
489,10150.429
490,10123.429
491,10081.143
492,10017.429
493,9941.000
494,9839.429
495,9802.857
496,9796.000
497,9830.571
498,9868.000
499,9829.714
500,9732.143
501,9581.714
502,9356.000
503,9080.286
504,8868.143
505,8817.429
506,8891.857
507,9055.857
508,9364.286
509,9665.143
510,9834.571
511,9956.857
512,9997.429
513,9976.429
514,9987.000
515,9990.143
516,9963.429
517,9956.000
518,9949.429
519,9945.714
520,9977.571
521,10012.714
522,10072.429
523,10164.429
524,10218.429
525,10249.714
526,10269.286
527,10256.714
528,10238.714
529,10186.857
530,10105.143
531,9979.000
532,9868.714
533,9826.000
534,9783.286
535,9828.857
536,9953.286
537,10054.857
538,10131.857
539,10124.857
540,10092.000
541,10025.714
542,9932.143
543,9846.857
544,9787.286
545,9767.429
546,9754.857
547,9777.571
548,9809.571
549,9830.857
550,9830.286
551,9784.286
552,9730.571
553,9684.429
554,9648.000
555,9603.571
556,9584.857
557,9582.714
558,9579.429
559,9582.143
560,9600.143
561,9634.143
562,9640.286
563,9612.000
564,9590.571
565,9525.714
566,9360.714
567,9198.714
568,9038.143
569,8987.714
570,9083.571
571,9248.286
572,9516.143
573,9743.714
574,9842.286
575,9880.000
576,9928.143
577,9930.000
578,9928.143
579,9937.571
580,9914.714
581,9879.286
582,9838.286
583,9845.857
584,9860.571
585,9897.286
586,9924.286
587,9860.429
588,9734.714
589,9503.286
590,9220.857
591,9077.286
592,9079.000
593,9205.571
594,9433.429
595,9676.714
596,9790.000
597,9834.857
598,9864.857
599,9855.429
600,9858.571
601,9850.000
602,9813.429
603,9756.714
604,9670.000
605,9610.143
606,9605.429
607,9573.857
608,9571.000
609,9603.714
610,9654.429
611,9732.286
612,9790.000
613,9861.857
614,9891.429
615,9920.857
616,9963.429
617,9944.000
618,9950.429
619,9994.000
620,9977.571
621,9939.571
622,9929.000
623,9875.000
624,9837.429
625,9808.571
626,9750.429
627,9701.143
628,9670.857
629,9705.000
630,9767.000
631,9810.571
632,9850.286
633,9922.429
634,9993.000
635,10026.571
636,10047.571
637,10065.000
638,10071.571
639,10044.857
640,9857.571
641,9410.857
642,8784.000
643,8108.714
644,7635.857
645,7538.429
646,7833.429
647,8427.000
648,9082.000
649,9591.714
650,9893.429
651,10030.429
652,10118.857
653,10186.143
654,10263.429
655,10323.857
656,10301.143
657,10292.143
658,10272.429
659,10186.571
660,9998.571
661,9730.429
662,9500.429
663,9377.714
664,9384.286
665,9476.286
666,9644.143
667,9834.143
668,9906.000
669,9886.286
670,9853.000
671,9870.143
672,9921.000
673,9981.857
674,10035.143
675,10053.714
676,10086.143
677,10083.571
678,10081.000
679,10071.714
680,10039.857
681,9960.571
682,9751.000
683,9489.429
684,9306.143
685,9248.429
686,9255.429
687,9339.000
688,9509.857
689,9713.143
690,9847.143
691,9858.571
692,9748.857
693,9555.143
694,9376.429
695,9262.857
696,9231.286
697,9288.286
698,9380.000
699,9534.143
700,9756.286
701,9925.429
702,10007.286
703,10032.857
704,10033.000
705,10059.857
706,10090.857
707,10068.857
708,10088.143
709,10136.571
710,10159.286
711,10197.000
712,10229.000
713,10238.286
714,10239.286
715,10203.143
716,10162.143
717,10099.143
718,10072.286
719,10082.429
720,10120.714
721,10136.286
722,10120.000
723,10084.857
724,9991.000
725,9881.714
726,9759.429
727,9649.714
728,9593.857
729,9580.857
730,9605.286
731,9651.286
732,9650.571
733,9612.714
734,9581.714
735,9531.429
736,9459.143
737,9436.714
738,9435.714
739,9394.571
740,9352.857
741,9345.286
742,9343.571
743,9293.143
744,9173.000
745,8989.000
746,8673.286
747,8181.857
748,7501.714
749,6759.714
750,6181.000
751,5928.429
752,6077.143
753,6543.429
754,7225.143
755,7957.286
