Velocidades_Air,Velocidades_Ritz
-549.3322397181403,-496.8260742557182
-157.70932295003692,-110.05489952173339
182.67736822273153,201.71849414885102
-611.994148372133,-554.9045287652831
-20.82482449617195,-20.82482449617195
-608.1629773413348,-570.1635296650426
-930.8149094505446,-916.5748597820537
-802.3336361409581,-826.0587723076759
-893.8664489802923,-874.9003560445939
137.54957530317557,-405.38601553620083
-452.8615807566656,-873.7036511620782
-826.2625389204363,-665.1425926665902
