Distance_(pixels),Gray_Value
454,8766.875
455,9024.625
456,9183.375
457,9256.750
458,9279.750
459,9299.875
460,9278.375
461,9248.875
462,9236.000
463,9212.625
464,9232.500
465,9253.625
466,9249.375
467,9230.250
468,9222.125
469,9204.625
470,9163.250
471,9135.500
472,9154.250
473,9162.500
474,9151.250
475,9144.750
476,9126.375
477,9103.875
478,9030.750
479,8885.250
480,8682.500
481,8472.500
482,8412.500
483,8502.000
484,8646.625
485,8854.375
486,8980.500
487,9044.125
488,9089.250
489,9098.000
490,9095.500
491,9062.125
492,9000.875
493,8925.250
494,8845.750
495,8835.000
496,8873.875
497,8900.500
498,8917.375
499,8879.875
500,8753.875
501,8572.750
502,8326.750
503,8053.500
504,7856.750
505,7883.125
506,8034.125
507,8224.750
508,8521.500
509,8727.250
510,8832.000
511,8924.500
512,8972.625
513,9007.250
514,9030.500
515,9027.375
516,9024.250
517,9026.250
518,9018.250
519,9009.750
520,9016.875
521,9038.750
522,9084.125
523,9140.625
524,9169.250
525,9201.250
526,9247.750
527,9264.125
528,9247.125
529,9216.250
530,9135.125
531,9027.750
532,8906.500
533,8785.750
534,8728.625
535,8771.125
536,8887.875
537,9006.375
538,9115.500
539,9180.000
540,9196.875
541,9180.375
542,9152.625
543,9106.875
544,9064.875
545,9045.000
546,9046.375
547,9082.250
548,9113.000
549,9149.125
550,9172.125
551,9152.375
552,9112.375
553,9105.625
554,9132.250
555,9141.250
556,9178.000
557,9232.625
558,9240.625
559,9223.125
560,9224.625
561,9256.250
562,9279.500
563,9277.250
564,9227.125
565,9146.125
566,8976.375
567,8766.875
568,8652.375
569,8647.250
570,8741.250
571,8926.250
572,9151.250
573,9324.500
574,9411.625
575,9458.250
576,9494.250
577,9497.625
578,9471.250
579,9463.625
580,9473.125
581,9424.750
582,9359.375
583,9337.500
584,9320.500
585,9329.750
586,9311.250
587,9239.125
588,9094.125
589,8877.875
590,8651.375
591,8550.000
592,8584.750
593,8689.500
594,8902.000
595,9116.250
596,9224.250
597,9263.375
598,9283.250
599,9291.125
600,9295.375
601,9283.250
602,9278.500
603,9238.375
604,9156.000
605,9039.125
606,8929.250
607,8873.625
608,8866.250
609,8883.750
610,8940.750
611,9045.250
612,9115.375
613,9129.750
614,9150.875
615,9186.500
616,9221.125
617,9236.125
618,9231.250
619,9209.875
620,9172.625
621,9124.625
622,9076.250
623,9031.625
624,8968.250
625,8885.875
626,8831.500
627,8767.750
628,8725.750
629,8717.250
630,8748.625
631,8773.875
632,8823.000
633,8850.750
634,8827.000
635,8830.750
636,8830.125
637,8810.500
638,8803.500
639,8751.625
640,8603.375
641,8325.000
642,7892.875
643,7323.875
644,6776.125
645,6470.250
646,6515.250
647,6850.000
648,7335.500
649,7831.500
650,8213.250
651,8451.625
652,8586.375
653,8672.625
654,8742.875
655,8765.625
656,8795.125
657,8804.250
658,8776.125
659,8695.250
660,8557.500
661,8357.125
662,8144.375
663,8072.875
664,8178.500
665,8310.125
666,8426.625
667,8556.875
668,8630.375
669,8636.000
670,8628.750
671,8639.375
672,8678.625
